# ASCII file created 2001/8/2 (19:45:48)  


[ Rich Mapping Parameters Setup ]

MaxPads MaxRows MaxCols MaxRCs MaxPorts MaxModules MaxChannels UnconnCh 
4712	96	96	2	8	5	64	88	

[ Rich Mapping Parameters ]

Col	Row	RC	Port	Module	Channel	
25	34	0	3	0	51	
25	33	0	3	0	52	
26	36	0	3	0	53	
26	35	0	3	0	54	
26	34	0	3	0	55	
26	33	0	3	0	56	
29	37	0	3	0	57	
28	37	0	3	0	58	
27	36	0	3	0	59	
27	35	0	3	0	60	
27	34	0	3	0	61	
27	33	0	3	0	62	
28	36	0	3	0	63	
31	43	0	3	1	0	
32	43	0	3	1	1	
30	47	0	3	1	2	
31	44	0	3	1	3	
29	47	0	3	1	4	
31	45	0	3	1	5	
31	42	0	3	1	6	
32	42	0	3	1	7	
28	47	0	3	1	8	
31	46	0	3	1	9	
27	47	0	3	1	10	
31	47	0	3	1	11	
30	46	0	3	1	12	
32	44	0	3	1	13	
30	45	0	3	1	14	
32	45	0	3	1	15	
31	41	0	3	1	16	
32	41	0	3	1	17	
